Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Belgium,4.469936,50.503887,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,77.241
Belgium,4.469936,50.503887,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,79.31
Belgium,4.469936,50.503887,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,116.88
Belgium,4.469936,50.503887,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,5.1
Belgium,4.469936,50.503887,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,3316.217
Belgium,4.469936,50.503887,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,32.27
Belgium,4.469936,50.503887,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,22.1
Belgium,4.469936,50.503887,Europe,EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,269.9
Belgium,4.469936,50.503887,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,4.18
Belgium,4.469936,50.503887,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,19154.181
Belgium,4.469936,50.503887,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,1.62
Belgium,4.469936,50.503887,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,4638.791
Belgium,4.469936,50.503887,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,1669.975
Belgium,4.469936,50.503887,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,7793.193
Belgium,4.469936,50.503887,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,11.25
Bulgaria,25.48583,42.733883,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,328.84
Bulgaria,25.48583,42.733883,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,2.12
Bulgaria,25.48583,42.733883,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,1.06
Bulgaria,25.48583,42.733883,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,895.58
Czech Republic,15.472961999999999,49.817492,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,5.55
Czech Republic,15.472961999999999,49.817492,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,731.18
Czech Republic,15.472961999999999,49.817492,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,3.22
Czech Republic,15.472961999999999,49.817492,Europe,EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,6.15
Czech Republic,15.472961999999999,49.817492,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,20.16
Czech Republic,15.472961999999999,49.817492,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,151.92
Czech Republic,15.472961999999999,49.817492,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,132.62
Czech Republic,15.472961999999999,49.817492,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,1300.33
Czech Republic,15.472961999999999,49.817492,Europe,EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,6.18
Czech Republic,15.472961999999999,49.817492,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,676.77
Czech Republic,15.472961999999999,49.817492,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,382.58
Denmark,9.501785,56.26392,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,520.04
Denmark,9.501785,56.26392,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,12.56
Denmark,9.501785,56.26392,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,4160.69
Denmark,9.501785,56.26392,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,977.605
Denmark,9.501785,56.26392,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,152.64
Denmark,9.501785,56.26392,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,10670.623
Denmark,9.501785,56.26392,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,540.1
Denmark,9.501785,56.26392,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,21004.685
Denmark,9.501785,56.26392,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,151.78
Denmark,9.501785,56.26392,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,21.7
Denmark,9.501785,56.26392,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,37.49
Denmark,9.501785,56.26392,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,219.6
Denmark,9.501785,56.26392,Europe,EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,3.58
Denmark,9.501785,56.26392,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,785.74
Denmark,9.501785,56.26392,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,4007.85
Denmark,9.501785,56.26392,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,4445.357
Denmark,9.501785,56.26392,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,79.59
Denmark,9.501785,56.26392,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,10.5
Denmark,9.501785,56.26392,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,1292.24
Denmark,9.501785,56.26392,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,122.29
Denmark,9.501785,56.26392,Europe,EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,254.94
Denmark,9.501785,56.26392,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,947.27
Denmark,9.501785,56.26392,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,813.08
Denmark,9.501785,56.26392,Europe,EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,2437.07
Denmark,9.501785,56.26392,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,250.545
Denmark,9.501785,56.26392,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,7.05
Denmark,9.501785,56.26392,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,1092.61
Denmark,9.501785,56.26392,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,179.94
Denmark,9.501785,56.26392,Europe,EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,1102.4
Finland,25.748151,61.92411,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,22.75
Finland,25.748151,61.92411,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,806.6
France,2.213749,46.227638,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,1112.827
France,2.213749,46.227638,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,11269.812
France,2.213749,46.227638,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,194026.775
France,2.213749,46.227638,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,225.63
France,2.213749,46.227638,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,2278.248
France,2.213749,46.227638,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,34288.324
France,2.213749,46.227638,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,3895.1740000000004
France,2.213749,46.227638,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,49234.84
France,2.213749,46.227638,Europe,EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,80.92
France,2.213749,46.227638,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,58383.15
France,2.213749,46.227638,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,66001.982
France,2.213749,46.227638,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,1473.34
France,2.213749,46.227638,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,762.696
France,2.213749,46.227638,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,1079.803
France,2.213749,46.227638,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,15978.973999999998
France,2.213749,46.227638,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,53251.808
