Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Denmark,9.501785,56.26392,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,7.05
Denmark,9.501785,56.26392,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,1092.61
Denmark,9.501785,56.26392,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,179.94
Denmark,9.501785,56.26392,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,4445.357
Denmark,9.501785,56.26392,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,79.59
Denmark,9.501785,56.26392,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,785.74
Denmark,9.501785,56.26392,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,540.1
Denmark,9.501785,56.26392,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,520.04
Denmark,9.501785,56.26392,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,12.56
Denmark,9.501785,56.26392,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,4160.69
Denmark,9.501785,56.26392,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,977.605
Denmark,9.501785,56.26392,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,152.64
Denmark,9.501785,56.26392,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,4007.85
Denmark,9.501785,56.26392,Europe,EU,Suriname,-56.027783,3.919305,South America,1000 US$,3.58
Denmark,9.501785,56.26392,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,10670.623
Denmark,9.501785,56.26392,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,21004.685
Denmark,9.501785,56.26392,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,151.78
Denmark,9.501785,56.26392,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,21.7
Denmark,9.501785,56.26392,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,37.49
Denmark,9.501785,56.26392,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,219.6
Finland,25.748151,61.92411,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,22.75
Finland,25.748151,61.92411,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,806.6
France,2.213749,46.227638,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,3416.31
France,2.213749,46.227638,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,11.13
France,2.213749,46.227638,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,51966.244
France,2.213749,46.227638,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,38874.624
France,2.213749,46.227638,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,15171.081
France,2.213749,46.227638,Europe,EU,Chile,-71.542969,-35.675147,South America,1000 US$,1373.763
France,2.213749,46.227638,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,1871.118
France,2.213749,46.227638,Europe,EU,China_mainland,116.383331,39.916668,Asia,1000 US$,71632.548
France,2.213749,46.227638,Europe,EU,China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,7731.68
France,2.213749,46.227638,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,860.009
France,2.213749,46.227638,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,28004.872
France,2.213749,46.227638,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,56952.001
France,2.213749,46.227638,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,20920.91
France,2.213749,46.227638,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,26094.448
France,2.213749,46.227638,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,92030.202
France,2.213749,46.227638,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,4883.217
France,2.213749,46.227638,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,33689.293
France,2.213749,46.227638,Europe,EU,Malawi,34.301525,-13.254308,Africa,1000 US$,195.926
France,2.213749,46.227638,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,15978.974
France,2.213749,46.227638,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,11269.812
